| z | u | f |
| 0.000000e+00 | 3.920682e-07 | 0.000000e+00 |
| 2.040816e-02 | 3.919810e-07 | 2.382764e+02 |
| 4.081633e-02 | 3.917193e-07 | 4.765786e+02 |
| 6.122449e-02 | 3.912832e-07 | 7.149210e+02 |
| 8.163265e-02 | 3.906725e-07 | 9.532949e+02 |
| 1.020408e-01 | 3.898875e-07 | 1.191657e+03 |
| 1.224490e-01 | 3.889281e-07 | 1.429918e+03 |
| 1.428571e-01 | 3.877949e-07 | 1.667931e+03 |
| 1.632653e-01 | 3.864885e-07 | 1.905480e+03 |
| 1.836735e-01 | 3.850100e-07 | 2.142270e+03 |
| 2.040816e-01 | 3.833608e-07 | 2.377915e+03 |
| 2.244898e-01 | 3.815434e-07 | 2.611930e+03 |
| 2.448980e-01 | 3.795607e-07 | 2.843721e+03 |
| 2.653061e-01 | 3.774167e-07 | 3.072579e+03 |
| 2.857143e-01 | 3.751167e-07 | 3.297672e+03 |
| 3.061224e-01 | 3.726672e-07 | 3.518047e+03 |
| 3.265306e-01 | 3.700760e-07 | 3.732626e+03 |
| 3.469388e-01 | 3.673528e-07 | 3.940213e+03 |
| 3.673469e-01 | 3.645088e-07 | 4.139500e+03 |
| 3.877551e-01 | 3.615572e-07 | 4.329084e+03 |
| 4.081633e-01 | 3.585129e-07 | 4.507484e+03 |
| 4.285714e-01 | 3.553929e-07 | 4.673168e+03 |
| 4.489796e-01 | 3.522159e-07 | 4.824584e+03 |
| 4.693878e-01 | 3.490023e-07 | 4.960203e+03 |
| 4.897959e-01 | 3.457741e-07 | 5.078560e+03 |
| 5.102041e-01 | 3.425544e-07 | 5.178312e+03 |
| 5.306122e-01 | 3.393672e-07 | 5.258292e+03 |
| 5.510204e-01 | 3.362369e-07 | 5.317568e+03 |
| 5.714286e-01 | 3.331878e-07 | 5.355508e+03 |
| 5.918367e-01 | 3.302432e-07 | 5.371837e+03 |
| 6.122449e-01 | 3.274254e-07 | 5.366689e+03 |
| 6.326531e-01 | 3.247546e-07 | 5.340651e+03 |
| 6.530612e-01 | 3.222486e-07 | 5.294787e+03 |
| 6.734694e-01 | 3.199219e-07 | 5.230641e+03 |
| 6.938776e-01 | 3.177859e-07 | 5.150219e+03 |
| 7.142857e-01 | 3.158480e-07 | 5.055939e+03 |
| 7.346939e-01 | 3.141120e-07 | 4.950542e+03 |
| 7.551020e-01 | 3.125775e-07 | 4.836981e+03 |
| 7.755102e-01 | 3.112409e-07 | 4.718274e+03 |
| 7.959184e-01 | 3.100950e-07 | 4.597344e+03 |
| 8.163265e-01 | 3.091301e-07 | 4.476851e+03 |
| 8.367347e-01 | 3.083336e-07 | 4.359036e+03 |
| 8.571429e-01 | 3.076914e-07 | 4.245608e+03 |
| 8.775510e-01 | 3.071879e-07 | 4.137680e+03 |
| 8.979592e-01 | 3.068063e-07 | 4.035787e+03 |
| 9.183673e-01 | 3.065291e-07 | 3.939969e+03 |
| 9.387755e-01 | 3.063387e-07 | 3.849913e+03 |
| 9.591837e-01 | 3.062172e-07 | 3.765109e+03 |
| 9.795918e-01 | 3.061476e-07 | 3.684973e+03 |
| 1.000000e+00 | 3.061136e-07 | 3.608924e+03 |
