Число узлов n = 201
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9200782606e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.00500 |    3.9200164457e-07    |   -0.0000000000e+00    |    5.8377083252e+01    |
| 0.01000 |    3.9200782606e-07    |    1.5943256175e+01    |    1.1675399637e+02    |
| 0.01500 |    3.9199592505e-07    |    9.9780629543e+01    |    1.7513115645e+02    |
| 0.02000 |    3.9197203054e-07    |    1.6422051357e+02    |    2.3350909512e+02    |
| 0.02500 |    3.9193701224e-07    |    2.2542856185e+02    |    2.9188819177e+02    |
| 0.03000 |    3.9189115988e-07    |    2.8546256769e+02    |    3.5026877265e+02    |
| 0.03500 |    3.9183460497e-07    |    3.4493333030e+02    |    4.0865110936e+02    |
| 0.04000 |    3.9176741818e-07    |    4.0408986468e+02    |    4.6703541076e+02    |
| 0.04500 |    3.9168964178e-07    |    4.6305345906e+02    |    5.2542181352e+02    |
| 0.05000 |    3.9160130300e-07    |    5.2189046114e+02    |    5.8381037233e+02    |
| 0.05500 |    3.9150242045e-07    |    5.8064026656e+02    |    6.4220104987e+02    |
| 0.06000 |    3.9139300741e-07    |    6.3932772560e+02    |    7.0059370682e+02    |
| 0.06500 |    3.9127307375e-07    |    6.9796923925e+02    |    7.5898809169e+02    |
| 0.07000 |    3.9114262712e-07    |    7.5657599845e+02    |    8.1738383077e+02    |
| 0.07500 |    3.9100167365e-07    |    8.1515581490e+02    |    8.7578041794e+02    |
| 0.08000 |    3.9085021853e-07    |    8.7371420807e+02    |    9.3417720456e+02    |
| 0.08500 |    3.9068826631e-07    |    9.3225507743e+02    |    9.9257338933e+02    |
| 0.09000 |    3.9051582119e-07    |    9.9078113202e+02    |    1.0509680082e+03    |
| 0.09500 |    3.9033288727e-07    |    1.0492941724e+03    |    1.1093599240e+03    |
| 0.10000 |    3.9013946867e-07    |    1.1077952800e+03    |    1.1677478170e+03    |
| 0.10500 |    3.8993556972e-07    |    1.1662849463e+03    |    1.2261301739e+03    |
| 0.11000 |    3.8972119508e-07    |    1.2247631618e+03    |    1.2845052784e+03    |
| 0.11500 |    3.8949634986e-07    |    1.2832294783e+03    |    1.3428712012e+03    |
| 0.12000 |    3.8926103972e-07    |    1.3416830518e+03    |    1.4012257895e+03    |
| 0.12500 |    3.8901527102e-07    |    1.4001226726e+03    |    1.4595666577e+03    |
| 0.13000 |    3.8875905088e-07    |    1.4585467856e+03    |    1.5178911769e+03    |
| 0.13500 |    3.8849238731e-07    |    1.5169535034e+03    |    1.5761964654e+03    |
| 0.14000 |    3.8821528933e-07    |    1.5753406145e+03    |    1.6344793791e+03    |
