Число узлов n = 71
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9426906271e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.01429 |    3.9421860199e-07    |    1.7672210134e+02    |    1.6662119386e+02    |
| 0.02857 |    3.9408792652e-07    |    3.3728965747e+02    |    3.3325170709e+02    |
| 0.04286 |    3.9387288816e-07    |    5.0249134437e+02    |    4.9989871099e+02    |
| 0.05714 |    3.9357288826e-07    |    6.6848161848e+02    |    6.6656544415e+02    |
| 0.07143 |    3.9318772693e-07    |    8.3476786603e+02    |    8.3324937859e+02    |
| 0.08571 |    3.9271732325e-07    |    1.0011942214e+03    |    9.9994025453e+02    |
| 0.10000 |    3.9216165810e-07    |    1.1676812644e+03    |    1.1666181377e+03    |
| 0.11429 |    3.9152076319e-07    |    1.3341683634e+03    |    1.3332514868e+03    |
| 0.12857 |    3.9079472507e-07    |    1.5005944248e+03    |    1.4997952326e+03    |
| 0.14286 |    3.8998369583e-07    |    1.6668893258e+03    |    1.6661888759e+03    |
| 0.15714 |    3.8908790788e-07    |    1.8329690857e+03    |    1.8323546137e+03    |
| 0.17143 |    3.8810769152e-07    |    1.9987325812e+03    |    1.9981955071e+03    |
| 0.18571 |    3.8704349486e-07    |    2.1640589996e+03    |    2.1635937062e+03    |
| 0.20000 |    3.8589590568e-07    |    2.3288057059e+03    |    2.3284087538e+03    |
| 0.21429 |    3.8466567504e-07    |    2.4928063889e+03    |    2.4924759903e+03    |
| 0.22857 |    3.8335374238e-07    |    2.6558694364e+03    |    2.6556050893e+03    |
| 0.24286 |    3.8196126174e-07    |    2.8177765313e+03    |    2.8175787549e+03    |
| 0.25714 |    3.8048962902e-07    |    2.9782814821e+03    |    2.9781516193e+03    |
| 0.27143 |    3.7894050965e-07    |    3.1371093165e+03    |    3.1370493800e+03    |
| 0.28571 |    3.7731586656e-07    |    3.2939556748e+03    |    3.2939682234e+03    |
| 0.30000 |    3.7561798765e-07    |    3.4484865490e+03    |    3.4485745828e+03    |
| 0.31429 |    3.7384951257e-07    |    3.6003384141e+03    |    3.6005052844e+03    |
| 0.32857 |    3.7201345791e-07    |    3.7491188083e+03    |    3.7493681355e+03    |
| 0.34286 |    3.7011324031e-07    |    3.8944074145e+03    |    3.8947430125e+03    |
| 0.35714 |    3.6815269665e-07    |    4.0357577009e+03    |    4.0361835059e+03    |
| 0.37143 |    3.6613610062e-07    |    4.1726991774e+03    |    4.1732191795e+03    |
| 0.38571 |    3.6406817474e-07    |    4.3047403182e+03    |    4.3053584965e+03    |
| 0.40000 |    3.6195409701e-07    |    4.4313722025e+03    |    4.4320924627e+03    |
| 0.41429 |    3.5979950136e-07    |    4.5520729115e+03    |    4.5528990284e+03    |
| 0.42857 |    3.5761047095e-07    |    4.6663127149e+03    |    4.6672482803e+03    |
| 0.44286 |    3.5539352356e-07    |    4.7735600635e+03    |    4.7746084415e+03    |
| 0.45714 |    3.5315558840e-07    |    4.8732883897e+03    |    4.8744526823e+03    |
| 0.47143 |    3.5090397353e-07    |    4.9649836963e+03    |    4.9662667229e+03    |
| 0.48571 |    3.4864632371e-07    |    5.0481528901e+03    |    5.0495571833e+03    |
