Число узлов n = 51
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9206571057e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.02000 |    3.9196680850e-07    |    2.4757113203e+02    |    2.3351182275e+02    |
| 0.04000 |    3.9171045386e-07    |    4.7266336132e+02    |    4.6704732852e+02    |
| 0.06000 |    3.9128855549e-07    |    7.0421792211e+02    |    7.0061920529e+02    |
| 0.08000 |    3.9069995454e-07    |    9.3686751518e+02    |    9.3421914059e+02    |
| 0.10000 |    3.8994431199e-07    |    1.1698893348e+03    |    1.1678076853e+03    |
| 0.12000 |    3.8902160271e-07    |    1.4029985159e+03    |    1.4013037805e+03    |
| 0.14000 |    3.8793205464e-07    |    1.6359781289e+03    |    1.6345744077e+03    |
| 0.16000 |    3.8667618887e-07    |    1.8685914193e+03    |    1.8674243933e+03    |
| 0.18000 |    3.8525489942e-07    |    2.1005477596e+03    |    2.0995864734e+03    |
| 0.20000 |    3.8366955600e-07    |    2.3314838701e+03    |    2.3307117778e+03    |
| 0.22000 |    3.8192212333e-07    |    2.5609508395e+03    |    2.5603609438e+03    |
| 0.24000 |    3.8001529321e-07    |    2.7884041425e+03    |    2.7879961326e+03    |
| 0.26000 |    3.7795262611e-07    |    3.0131958452e+03    |    3.0129742802e+03    |
| 0.28000 |    3.7573869883e-07    |    3.2345689121e+03    |    3.2345419810e+03    |
| 0.30000 |    3.7337925393e-07    |    3.4516538545e+03    |    3.4518324625e+03    |
| 0.32000 |    3.7088134604e-07    |    3.6634681268e+03    |    3.6638651677e+03    |
| 0.34000 |    3.6825347890e-07    |    3.8689187718e+03    |    3.8695485084e+03    |
| 0.36000 |    3.6550572626e-07    |    4.0668088763e+03    |    4.0676863828e+03    |
| 0.38000 |    3.6264982871e-07    |    4.2558484130e+03    |    4.2569890565e+03    |
| 0.40000 |    3.5969925783e-07    |    4.4346700278e+03    |    4.4360889816e+03    |
| 0.42000 |    3.5666923854e-07    |    4.6018502658e+03    |    4.6035620626e+03    |
| 0.44000 |    3.5357672063e-07    |    4.7559366168e+03    |    4.7579547574e+03    |
| 0.46000 |    3.5044029071e-07    |    4.8954805769e+03    |    4.8978172268e+03    |
| 0.48000 |    3.4728001720e-07    |    5.0190766808e+03    |    5.0217424942e+03    |
| 0.50000 |    3.4411722306e-07    |    5.1254071283e+03    |    5.1284112544e+03    |
| 0.52000 |    3.4097418353e-07    |    5.2132912238e+03    |    5.2166415627e+03    |
| 0.54000 |    3.3787375027e-07    |    5.2817383627e+03    |    5.2854421468e+03    |
| 0.56000 |    3.3483890768e-07    |    5.3300027386e+03    |    5.3340675324e+03    |
| 0.58000 |    3.3189227274e-07    |    5.3576373393e+03    |    5.3620725571e+03    |
| 0.60000 |    3.2905555482e-07    |    5.3645441701e+03    |    5.3693632236e+03    |
| 0.62000 |    3.2634899809e-07    |    5.3510170453e+03    |    5.3562402410e+03    |
| 0.64000 |    3.2379083320e-07    |    5.3177727859e+03    |    5.3234311021e+03    |
| 0.66000 |    3.2139676885e-07    |    5.2659663451e+03    |    5.2721062355e+03    |
| 0.68000 |    3.1917955450e-07    |    5.1971853656e+03    |    5.2038747603e+03    |
| 0.70000 |    3.1714864410e-07    |    5.1134200759e+03    |    5.1207558091e+03    |
| 0.72000 |    3.1530998531e-07    |    5.0170054031e+03    |    5.0251223999e+03    |
| 0.74000 |    3.1366595038e-07    |    4.9105338283e+03    |    4.9196165949e+03    |
| 0.76000 |    3.1221541273e-07    |    4.7967399250e+03    |    4.8070372674e+03    |
| 0.78000 |    3.1095395999e-07    |    4.6783606431e+03    |    4.6902052518e+03    |
| 0.80000 |    3.0987422013e-07    |    4.5579789839e+03    |    4.5718147987e+03    |
| 0.82000 |    3.0896626572e-07    |    4.4378621055e+03    |    4.4542847052e+03    |
| 0.84000 |    3.0821805484e-07    |    4.3198068511e+03    |    4.3396263845e+03    |
| 0.86000 |    3.0761586793e-07    |    4.2050039223e+03    |    4.2293481783e+03    |
| 0.88000 |    3.0714470965e-07    |    4.0939224787e+03    |    4.1244136169e+03    |
| 0.90000 |    3.0678866199e-07    |    3.9861925890e+03    |    4.0252642745e+03    |
| 0.92000 |    3.0653119737e-07    |    3.8804085975e+03    |    3.9319046133e+03    |
| 0.94000 |    3.0635548146e-07    |    3.7736537752e+03    |    3.8440289798e+03    |
| 0.96000 |    3.0624470915e-07    |    3.6602423976e+03    |    3.7611568641e+03    |
| 0.98000 |    3.0618252048e-07    |    3.5283603565e+03    |    3.6827423252e+03    |
| 1.00000 |    3.0615353613e-07    |    2.1570854169e+03    |    3.6082423611e+03    |
--------------------------------------------------------------------------------------
