| z | u | f |
| 0.0000000000e+00 | 3.9206824659e-07 | 0.0000000000e+00 |
| 2.0004000800e-04 | 3.9206823821e-07 | 2.3355295401e+00 |
| 4.0008001600e-04 | 3.9206821307e-07 | 4.6710591073e+00 |
| 6.0012002400e-04 | 3.9206817117e-07 | 7.0065887286e+00 |
| 8.0016003201e-04 | 3.9206811250e-07 | 9.3421184310e+00 |
| 1.0002000400e-03 | 3.9206803708e-07 | 1.1677648242e+01 |
| 1.2002400480e-03 | 3.9206794490e-07 | 1.4013178188e+01 |
| 1.4002800560e-03 | 3.9206783595e-07 | 1.6348708296e+01 |
| 1.6003200640e-03 | 3.9206771025e-07 | 1.8684238594e+01 |
| 1.8003600720e-03 | 3.9206756778e-07 | 2.1019769108e+01 |
| 2.0004000800e-03 | 3.9206740855e-07 | 2.3355299866e+01 |
| 2.2004400880e-03 | 3.9206723256e-07 | 2.5690830894e+01 |
| 2.4004800960e-03 | 3.9206703981e-07 | 2.8026362219e+01 |
| 2.6005201040e-03 | 3.9206683030e-07 | 3.0361893869e+01 |
| 2.8005601120e-03 | 3.9206660403e-07 | 3.2697425871e+01 |
| 3.0006001200e-03 | 3.9206636100e-07 | 3.5032958251e+01 |
| 3.2006401280e-03 | 3.9206610121e-07 | 3.7368491036e+01 |
| 3.4006801360e-03 | 3.9206582466e-07 | 3.9704024253e+01 |
| 3.6007201440e-03 | 3.9206553134e-07 | 4.2039557930e+01 |
| 3.8007601520e-03 | 3.9206522127e-07 | 4.4375092093e+01 |
| 4.0008001600e-03 | 3.9206489443e-07 | 4.6710626769e+01 |
| 4.2008401680e-03 | 3.9206455084e-07 | 4.9046161985e+01 |
| 4.4008801760e-03 | 3.9206419048e-07 | 5.1381697767e+01 |
| 4.6009201840e-03 | 3.9206381336e-07 | 5.3717234143e+01 |
| 4.8009601920e-03 | 3.9206341948e-07 | 5.6052771140e+01 |
| 5.0010002000e-03 | 3.9206300884e-07 | 5.8388308783e+01 |
| 5.2010402080e-03 | 3.9206258144e-07 | 6.0723847100e+01 |
| 5.4010802160e-03 | 3.9206213728e-07 | 6.3059386118e+01 |
| 5.6011202240e-03 | 3.9206167636e-07 | 6.5394925864e+01 |
| 5.8011602320e-03 | 3.9206119868e-07 | 6.7730466363e+01 |
| 6.0012002400e-03 | 3.9206070423e-07 | 7.0066007643e+01 |
| 6.2012402480e-03 | 3.9206019303e-07 | 7.2401549730e+01 |
| 6.4012802561e-03 | 3.9205966506e-07 | 7.4737092651e+01 |
| 6.6013202641e-03 | 3.9205912034e-07 | 7.7072636432e+01 |
| 6.8013602721e-03 | 3.9205855885e-07 | 7.9408181100e+01 |
| 7.0014002801e-03 | 3.9205798060e-07 | 8.1743726681e+01 |
| 7.2014402881e-03 | 3.9205738559e-07 | 8.4079273202e+01 |
| 7.4014802961e-03 | 3.9205677382e-07 | 8.6414820690e+01 |
| 7.6015203041e-03 | 3.9205614529e-07 | 8.8750369170e+01 |
| 7.8015603121e-03 | 3.9205550000e-07 | 9.1085918668e+01 |
| 8.0016003201e-03 | 3.9205483795e-07 | 9.3421469212e+01 |
| 8.2016403281e-03 | 3.9205415913e-07 | 9.5757020828e+01 |
| 8.4016803361e-03 | 3.9205346356e-07 | 9.8092573541e+01 |
| 8.6017203441e-03 | 3.9205275122e-07 | 1.0042812738e+02 |
| 8.8017603521e-03 | 3.9205202213e-07 | 1.0276368236e+02 |
| 9.0018003601e-03 | 3.9205127627e-07 | 1.0509923853e+02 |
| 9.2018403681e-03 | 3.9205051365e-07 | 1.0743479589e+02 |
| 9.4018803761e-03 | 3.9204973427e-07 | 1.0977035448e+02 |
| 9.6019203841e-03 | 3.9204893813e-07 | 1.1210591433e+02 |
| 9.8019603921e-03 | 3.9204812523e-07 | 1.1444147546e+02 |
| 1.0002000400e-02 | 3.9204729557e-07 | 1.1677703789e+02 |
| 1.0202040408e-02 | 3.9204644915e-07 | 1.1911260165e+02 |
| 1.0402080416e-02 | 3.9204558596e-07 | 1.2144816677e+02 |
| 1.0602120424e-02 | 3.9204470602e-07 | 1.2378373328e+02 |
| 1.0802160432e-02 | 3.9204380931e-07 | 1.2611930119e+02 |
| 1.1002200440e-02 | 3.9204289584e-07 | 1.2845487054e+02 |
| 1.1202240448e-02 | 3.9204196561e-07 | 1.3079044134e+02 |
| 1.1402280456e-02 | 3.9204101862e-07 | 1.3312601363e+02 |
| 1.1602320464e-02 | 3.9204005487e-07 | 1.3546158743e+02 |
| 1.1802360472e-02 | 3.9203907436e-07 | 1.3779716277e+02 |
| 1.2002400480e-02 | 3.9203807709e-07 | 1.4013273967e+02 |
| 1.2202440488e-02 | 3.9203706305e-07 | 1.4246831815e+02 |
| 1.2402480496e-02 | 3.9203603226e-07 | 1.4480389825e+02 |
| 1.2602520504e-02 | 3.9203498470e-07 | 1.4713947998e+02 |
| 1.2802560512e-02 | 3.9203392039e-07 | 1.4947506338e+02 |
| 1.3002600520e-02 | 3.9203283931e-07 | 1.5181064846e+02 |
| 1.3202640528e-02 | 3.9203174147e-07 | 1.5414623525e+02 |
| 1.3402680536e-02 | 3.9203062687e-07 | 1.5648182378e+02 |
| 1.3602720544e-02 | 3.9202949550e-07 | 1.5881741407e+02 |
| 1.3802760552e-02 | 3.9202834738e-07 | 1.6115300614e+02 |
| 1.4002800560e-02 | 3.9202718250e-07 | 1.6348860003e+02 |
| 1.4202840568e-02 | 3.9202600085e-07 | 1.6582419575e+02 |
| 1.4402880576e-02 | 3.9202480244e-07 | 1.6815979333e+02 |
| 1.4602920584e-02 | 3.9202358727e-07 | 1.7049539279e+02 |
| 1.4802960592e-02 | 3.9202235534e-07 | 1.7283099416e+02 |
| 1.5003000600e-02 | 3.9202110665e-07 | 1.7516659746e+02 |
| 1.5203040608e-02 | 3.9201984120e-07 | 1.7750220272e+02 |
| 1.5403080616e-02 | 3.9201855899e-07 | 1.7983780996e+02 |
| 1.5603120624e-02 | 3.9201726001e-07 | 1.8217341921e+02 |
| 1.5803160632e-02 | 3.9201594428e-07 | 1.8450903048e+02 |
| 1.6003200640e-02 | 3.9201461178e-07 | 1.8684464381e+02 |
| 1.6203240648e-02 | 3.9201326252e-07 | 1.8918025921e+02 |
| 1.6403280656e-02 | 3.9201189650e-07 | 1.9151587671e+02 |
| 1.6603320664e-02 | 3.9201051372e-07 | 1.9385149634e+02 |
| 1.6803360672e-02 | 3.9200911417e-07 | 1.9618711811e+02 |
| 1.7003400680e-02 | 3.9200769787e-07 | 1.9852274205e+02 |
| 1.7203440688e-02 | 3.9200626480e-07 | 2.0085836819e+02 |
| 1.7403480696e-02 | 3.9200481498e-07 | 2.0319399654e+02 |
| 1.7603520704e-02 | 3.9200334839e-07 | 2.0552962713e+02 |
| 1.7803560712e-02 | 3.9200186504e-07 | 2.0786525999e+02 |
| 1.8003600720e-02 | 3.9200036493e-07 | 2.1020089513e+02 |
| 1.8203640728e-02 | 3.9199884805e-07 | 2.1253653258e+02 |
| 1.8403680736e-02 | 3.9199731442e-07 | 2.1487217237e+02 |
| 1.8603720744e-02 | 3.9199576402e-07 | 2.1720781451e+02 |
| 1.8803760752e-02 | 3.9199419686e-07 | 2.1954345902e+02 |
| 1.9003800760e-02 | 3.9199261294e-07 | 2.2187910594e+02 |
| 1.9203840768e-02 | 3.9199101226e-07 | 2.2421475527e+02 |
| 1.9403880776e-02 | 3.9198939482e-07 | 2.2655040705e+02 |
| 1.9603920784e-02 | 3.9198776061e-07 | 2.2888606130e+02 |
| 1.9803960792e-02 | 3.9198610965e-07 | 2.3122171804e+02 |
| 2.0004000800e-02 | 3.9198444192e-07 | 2.3355737729e+02 |
| 2.0204040808e-02 | 3.9198275743e-07 | 2.3589303907e+02 |
| 2.0404080816e-02 | 3.9198105618e-07 | 2.3822870340e+02 |
| 2.0604120824e-02 | 3.9197933817e-07 | 2.4056437031e+02 |
| 2.0804160832e-02 | 3.9197760339e-07 | 2.4290003982e+02 |
| 2.1004200840e-02 | 3.9197585185e-07 | 2.4523571195e+02 |
| 2.1204240848e-02 | 3.9197408356e-07 | 2.4757138671e+02 |
| 2.1404280856e-02 | 3.9197229850e-07 | 2.4990706414e+02 |
| 2.1604320864e-02 | 3.9197049667e-07 | 2.5224274425e+02 |
| 2.1804360872e-02 | 3.9196867809e-07 | 2.5457842707e+02 |
| 2.2004400880e-02 | 3.9196684274e-07 | 2.5691411261e+02 |
