Число узлов n = 901
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9205057357e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.00111 |    3.9205026831e-07    |    1.3281293158e-09    |    1.2972394500e+01    |
| 0.00222 |    3.9205057357e-07    |    3.5427696115e+00    |    2.5944787173e+01    |
| 0.00333 |    3.9204998588e-07    |    2.2172938937e+01    |    3.8917182742e+01    |
| 0.00444 |    3.9204880593e-07    |    3.6492431692e+01    |    5.1889587399e+01    |
| 0.00556 |    3.9204707668e-07    |    5.0093490286e+01    |    6.4862005983e+01    |
| 0.00667 |    3.9204481245e-07    |    6.3433313346e+01    |    7.7834443176e+01    |
| 0.00778 |    3.9204201975e-07    |    7.6647556487e+01    |    9.0806903590e+01    |
| 0.00889 |    3.9203870207e-07    |    8.9791489535e+01    |    1.0377939178e+02    |
| 0.01000 |    3.9203486153e-07    |    1.0289201084e+02    |    1.1675191227e+02    |
| 0.01111 |    3.9203049947e-07    |    1.1596382396e+02    |    1.2972446951e+02    |
| 0.01222 |    3.9202561683e-07    |    1.2901565948e+02    |    1.4269706790e+02    |
| 0.01333 |    3.9202021428e-07    |    1.4205303424e+02    |    1.5566971180e+02    |
| 0.01444 |    3.9201429230e-07    |    1.5507960822e+02    |    1.6864240548e+02    |
| 0.01556 |    3.9200785126e-07    |    1.6809790662e+02    |    1.8161515317e+02    |
| 0.01667 |    3.9200089145e-07    |    1.8110972893e+02    |    1.9458795901e+02    |
| 0.01778 |    3.9199341310e-07    |    1.9411639278e+02    |    2.0756082705e+02    |
| 0.01889 |    3.9198541640e-07    |    2.0711888550e+02    |    2.2053376129e+02    |
| 0.02000 |    3.9197690149e-07    |    2.2011796187e+02    |    2.3350676562e+02    |
| 0.02111 |    3.9196786850e-07    |    2.3311420904e+02    |    2.4647984382e+02    |
| 0.02222 |    3.9195831752e-07    |    2.4610809081e+02    |    2.5945299961e+02    |
| 0.02333 |    3.9194824865e-07    |    2.5909997858e+02    |    2.7242623656e+02    |
| 0.02444 |    3.9193766196e-07    |    2.7209017340e+02    |    2.8539955817e+02    |
| 0.02556 |    3.9192655751e-07    |    2.8507892201e+02    |    2.9837296781e+02    |
| 0.02667 |    3.9191493535e-07    |    2.9806642863e+02    |    3.1134646870e+02    |
| 0.02778 |    3.9190279553e-07    |    3.1105286381e+02    |    3.2432006398e+02    |
| 0.02889 |    3.9189013810e-07    |    3.2403837119e+02    |    3.3729375662e+02    |
| 0.03000 |    3.9187696308e-07    |    3.3702307264e+02    |    3.5026754948e+02    |
| 0.03111 |    3.9186327051e-07    |    3.5000707224e+02    |    3.6324144525e+02    |
| 0.03222 |    3.9184906041e-07    |    3.6299045947e+02    |    3.7621544649e+02    |
| 0.03333 |    3.9183433281e-07    |    3.7597331172e+02    |    3.8918955560e+02    |
| 0.03444 |    3.9181908772e-07    |    3.8895569622e+02    |    4.0216377482e+02    |
| 0.03556 |    3.9180332517e-07    |    4.0193767171e+02    |    4.1513810623e+02    |
| 0.03667 |    3.9178704518e-07    |    4.1491928969e+02    |    4.2811255172e+02    |
| 0.03778 |    3.9177024775e-07    |    4.2790059554e+02    |    4.4108711302e+02    |
| 0.03889 |    3.9175293290e-07    |    4.4088162933e+02    |    4.5406179169e+02    |
| 0.04000 |    3.9173510064e-07    |    4.5386242662e+02    |    4.6703658906e+02    |
| 0.04111 |    3.9171675099e-07    |    4.6684301900e+02    |    4.8001150632e+02    |
| 0.04222 |    3.9169788394e-07    |    4.7982343461e+02    |    4.9298654443e+02    |
| 0.04333 |    3.9167849952e-07    |    4.9280369860e+02    |    5.0596170413e+02    |
| 0.04444 |    3.9165859772e-07    |    5.0578383342e+02    |    5.1893698600e+02    |
| 0.04556 |    3.9163817856e-07    |    5.1876385918e+02    |    5.3191239037e+02    |
| 0.04667 |    3.9161724204e-07    |    5.3174379389e+02    |    5.4488791734e+02    |
| 0.04778 |    3.9159578817e-07    |    5.4472365367e+02    |    5.5786356682e+02    |
