Число узлов n = 901
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9222482469e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.00111 |    3.9222451943e-07    |    1.3753060602e+01    |    1.2971352646e+01    |
| 0.00222 |    3.9222372829e-07    |    2.6255392255e+01    |    2.5942710021e+01    |
| 0.00333 |    3.9222242634e-07    |    3.9115085751e+01    |    3.8914076747e+01    |
| 0.00444 |    3.9222061002e-07    |    5.2034351927e+01    |    5.1885457409e+01    |
| 0.00556 |    3.9221827814e-07    |    6.4975294350e+01    |    6.4856856593e+01    |
| 0.00667 |    3.9221543016e-07    |    7.7926672230e+01    |    7.7828278872e+01    |
| 0.00778 |    3.9221206579e-07    |    9.0883908673e+01    |    9.0799728792e+01    |
| 0.00889 |    3.9220818485e-07    |    1.0384477872e+02    |    1.0377121087e+02    |
| 0.01000 |    3.9220378723e-07    |    1.1680806832e+02    |    1.1674272958e+02    |
| 0.01111 |    3.9219887285e-07    |    1.2977305851e+02    |    1.2971428937e+02    |
| 0.01222 |    3.9219344166e-07    |    1.4273929670e+02    |    1.4268589460e+02    |
| 0.01333 |    3.9218749361e-07    |    1.5570648419e+02    |    1.5565754963e+02    |
| 0.01444 |    3.9218102866e-07    |    1.6867441626e+02    |    1.6862925871e+02    |
| 0.01556 |    3.9217404680e-07    |    1.8164294829e+02    |    1.8160102605e+02    |
| 0.01667 |    3.9216654800e-07    |    1.9461197554e+02    |    1.9457285578e+02    |
| 0.01778 |    3.9215853224e-07    |    2.0758142055e+02    |    2.0754475197e+02    |
| 0.01889 |    3.9214999951e-07    |    2.2055122506e+02    |    2.2051671857e+02    |
| 0.02000 |    3.9214094980e-07    |    2.3352134462e+02    |    2.3348875948e+02    |
| 0.02111 |    3.9213138308e-07    |    2.4649174487e+02    |    2.4646087849e+02    |
| 0.02222 |    3.9212129936e-07    |    2.5946239904e+02    |    2.5943307930e+02    |
| 0.02333 |    3.9211069863e-07    |    2.7243328607e+02    |    2.7240536547e+02    |
| 0.02444 |    3.9209958086e-07    |    2.8540438927e+02    |    2.8537774051e+02    |
| 0.02556 |    3.9208794607e-07    |    2.9837569536e+02    |    2.9835020776e+02    |
| 0.02667 |    3.9207579423e-07    |    3.1134719373e+02    |    3.1132277047e+02    |
| 0.02778 |    3.9206312535e-07    |    3.2431887583e+02    |    3.2429543175e+02    |
| 0.02889 |    3.9204993941e-07    |    3.3729073481e+02    |    3.3726819458e+02    |
| 0.03000 |    3.9203623641e-07    |    3.5026276512e+02    |    3.5024106181e+02    |
| 0.03111 |    3.9202201634e-07    |    3.6323496229e+02    |    3.6321403614e+02    |
| 0.03222 |    3.9200727921e-07    |    3.7620732267e+02    |    3.7618712011e+02    |
| 0.03333 |    3.9199202499e-07    |    3.8917984330e+02    |    3.8916031613e+02    |
| 0.03444 |    3.9197625369e-07    |    4.0215252174e+02    |    4.0213362643e+02    |
| 0.03556 |    3.9195996530e-07    |    4.1512535596e+02    |    4.1510705309e+02    |
| 0.03667 |    3.9194315982e-07    |    4.2809834429e+02    |    4.2808059800e+02    |
| 0.03778 |    3.9192583724e-07    |    4.4107148528e+02    |    4.4105426289e+02    |
| 0.03889 |    3.9190799756e-07    |    4.5404477765e+02    |    4.5402804931e+02    |
| 0.04000 |    3.9188964077e-07    |    4.6701822028e+02    |    4.6700195860e+02    |
| 0.04111 |    3.9187076687e-07    |    4.7999181211e+02    |    4.7997599193e+02    |
| 0.04222 |    3.9185137585e-07    |    4.9296555210e+02    |    4.9295015027e+02    |
| 0.04333 |    3.9183146771e-07    |    5.0593943924e+02    |    5.0592443438e+02    |
| 0.04444 |    3.9181104245e-07    |    5.1891347245e+02    |    5.1889884479e+02    |
