Число узлов n = 2001
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9205326527e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.00050 |    3.9205320345e-07    |    6.1891846724e+00    |    5.8375696280e+00    |
| 0.00100 |    3.9205304323e-07    |    1.1815785622e+01    |    1.1675139687e+01    |
| 0.00150 |    3.9205277957e-07    |    1.7603125755e+01    |    1.7512710599e+01    |
| 0.00200 |    3.9205241174e-07    |    2.3417256878e+01    |    2.3350282783e+01    |
| 0.00250 |    3.9205193949e-07    |    2.9241131410e+01    |    2.9187856660e+01    |
| 0.00300 |    3.9205136273e-07    |    3.5069691574e+01    |    3.5025432650e+01    |
| 0.00350 |    3.9205068140e-07    |    4.0900877045e+01    |    4.0863011174e+01    |
| 0.00400 |    3.9204989545e-07    |    4.6733685416e+01    |    4.6700592652e+01    |
| 0.00450 |    3.9204900486e-07    |    5.2567569006e+01    |    5.2538177503e+01    |
| 0.00500 |    3.9204800963e-07    |    5.8402202849e+01    |    5.8375766147e+01    |
| 0.00550 |    3.9204690973e-07    |    6.4237381817e+01    |    6.4213359001e+01    |
| 0.00600 |    3.9204570516e-07    |    7.0072970016e+01    |    7.0050956481e+01    |
| 0.00650 |    3.9204439591e-07    |    7.5908873863e+01    |    7.5888559004e+01    |
| 0.00700 |    3.9204298199e-07    |    8.1745026829e+01    |    8.1726166985e+01    |
| 0.00750 |    3.9204146338e-07    |    8.7581380352e+01    |    8.7563780836e+01    |
| 0.00800 |    3.9203984007e-07    |    9.3417898187e+01    |    9.3401400969e+01    |
| 0.00850 |    3.9203811208e-07    |    9.9254552753e+01    |    9.9239027794e+01    |
| 0.00900 |    3.9203627939e-07    |    1.0509132271e+02    |    1.0507666172e+02    |
| 0.00950 |    3.9203434201e-07    |    1.1092819130e+02    |    1.1091430316e+02    |
| 0.01000 |    3.9203229993e-07    |    1.1676514525e+02    |    1.1675195250e+02    |
| 0.01050 |    3.9203015315e-07    |    1.2260217385e+02    |    1.2258961017e+02    |
| 0.01100 |    3.9202790168e-07    |    1.2843926844e+02    |    1.2842727655e+02    |
| 0.01150 |    3.9202554550e-07    |    1.3427642194e+02    |    1.3426495205e+02    |
| 0.01200 |    3.9202308461e-07    |    1.4011362850e+02    |    1.4010263706e+02    |
| 0.01250 |    3.9202051903e-07    |    1.4595088330e+02    |    1.4594033198e+02    |
| 0.01300 |    3.9201784874e-07    |    1.5178818228e+02    |    1.5177803720e+02    |
| 0.01350 |    3.9201507375e-07    |    1.5762552207e+02    |    1.5761575311e+02    |
| 0.01400 |    3.9201219405e-07    |    1.6346289983e+02    |    1.6345348009e+02    |
| 0.01450 |    3.9200920964e-07    |    1.6930031314e+02    |    1.6929121854e+02    |
| 0.01500 |    3.9200612053e-07    |    1.7513775999e+02    |    1.7512896883e+02    |
| 0.01550 |    3.9200292671e-07    |    1.8097523865e+02    |    1.8096673133e+02    |
| 0.01600 |    3.9199962819e-07    |    1.8681274765e+02    |    1.8680450644e+02    |
| 0.01650 |    3.9199622495e-07    |    1.9265028576e+02    |    1.9264229451e+02    |
| 0.01700 |    3.9199271701e-07    |    1.9848785191e+02    |    1.9848009591e+02    |
| 0.01750 |    3.9198910436e-07    |    2.0432544521e+02    |    2.0431791102e+02    |
| 0.01800 |    3.9198538700e-07    |    2.1016306490e+02    |    2.1015574019e+02    |
| 0.01850 |    3.9198156492e-07    |    2.1600071034e+02    |    2.1599358378e+02    |
| 0.01900 |    3.9197763814e-07    |    2.2183838099e+02    |    2.2183144215e+02    |
| 0.01950 |    3.9197360665e-07    |    2.2767607639e+02    |    2.2766931565e+02    |
| 0.02000 |    3.9196947044e-07    |    2.3351379617e+02    |    2.3350720462e+02    |
| 0.02050 |    3.9196522952e-07    |    2.3935154002e+02    |    2.3934510941e+02    |
| 0.02100 |    3.9196088390e-07    |    2.4518930770e+02    |    2.4518303036e+02    |
| 0.02150 |    3.9195643355e-07    |    2.5102709899e+02    |    2.5102096780e+02    |
| 0.02200 |    3.9195187850e-07    |    2.5686491375e+02    |    2.5685892207e+02    |
| 0.02250 |    3.9194721873e-07    |    2.6270275186e+02    |    2.6269689348e+02    |
| 0.02300 |    3.9194245425e-07    |    2.6854061324e+02    |    2.6853488236e+02    |
| 0.02350 |    3.9193758505e-07    |    2.7437849783e+02    |    2.7437288904e+02    |
| 0.02400 |    3.9193261114e-07    |    2.8021640560e+02    |    2.8021091381e+02    |
| 0.02450 |    3.9192753251e-07    |    2.8605433656e+02    |    2.8604895700e+02    |
| 0.02500 |    3.9192234917e-07    |    2.9189229072e+02    |    2.9188701889e+02    |
| 0.02550 |    3.9191706112e-07    |    2.9773026811e+02    |    2.9772509980e+02    |
| 0.02600 |    3.9191166834e-07    |    3.0356826878e+02    |    3.0356320001e+02    |
| 0.02650 |    3.9190617085e-07    |    3.0940629280e+02    |    3.0940131981e+02    |
| 0.02700 |    3.9190056865e-07    |    3.1524434023e+02    |    3.1523945948e+02    |
| 0.02750 |    3.9189486172e-07    |    3.2108241116e+02    |    3.2107761930e+02    |
| 0.02800 |    3.9188905008e-07    |    3.2692050569e+02    |    3.2691579954e+02    |
| 0.02850 |    3.9188313372e-07    |    3.3275862391e+02    |    3.3275400047e+02    |
| 0.02900 |    3.9187711264e-07    |    3.3859676592e+02    |    3.3859222235e+02    |
| 0.02950 |    3.9187098685e-07    |    3.4443493184e+02    |    3.4443046543e+02    |
| 0.03000 |    3.9186475633e-07    |    3.5027312177e+02    |    3.5026872997e+02    |
| 0.03050 |    3.9185842110e-07    |    3.5611133585e+02    |    3.5610701619e+02    |
| 0.03100 |    3.9185198114e-07    |    3.6194957418e+02    |    3.6194532434e+02    |
| 0.03150 |    3.9184543647e-07    |    3.6778783688e+02    |    3.6778365466e+02    |
| 0.03200 |    3.9183878707e-07    |    3.7362612408e+02    |    3.7362200735e+02    |
| 0.03250 |    3.9183203296e-07    |    3.7946443589e+02    |    3.7946038265e+02    |
| 0.03300 |    3.9182517412e-07    |    3.8530277244e+02    |    3.8529878076e+02    |
| 0.03350 |    3.9181821056e-07    |    3.9114113384e+02    |    3.9113720189e+02    |
| 0.03400 |    3.9181114228e-07    |    3.9697952020e+02    |    3.9697564623e+02    |
| 0.03450 |    3.9180396927e-07    |    4.0281793164e+02    |    4.0281411398e+02    |
| 0.03500 |    3.9179669155e-07    |    4.0865636828e+02    |    4.0865260531e+02    |
| 0.03550 |    3.9178930910e-07    |    4.1449483022e+02    |    4.1449112042e+02    |
| 0.03600 |    3.9178182192e-07    |    4.2033331757e+02    |    4.2032965945e+02    |
| 0.03650 |    3.9177423003e-07    |    4.2617183043e+02    |    4.2616822259e+02    |
| 0.03700 |    3.9176653341e-07    |    4.3201036890e+02    |    4.3200680998e+02    |
| 0.03750 |    3.9175873206e-07    |    4.3784893308e+02    |    4.3784542177e+02    |
