Число узлов n = 701
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9204894938e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.00143 |    3.9204844477e-07    |   -0.0000000000e+00    |    1.6678806947e+01    |
| 0.00286 |    3.9204894938e-07    |    4.5549980772e+00    |    3.3357610007e+01    |
| 0.00429 |    3.9204797789e-07    |    2.8508090121e+01    |    5.0036419209e+01    |
| 0.00571 |    3.9204602737e-07    |    4.6918888865e+01    |    6.6715247686e+01    |
| 0.00714 |    3.9204316881e-07    |    6.4405997416e+01    |    8.3394105677e+01    |
| 0.00857 |    3.9203942589e-07    |    8.1557246759e+01    |    1.0007300305e+02    |
| 0.01000 |    3.9203480937e-07    |    9.8547055203e+01    |    1.1675194949e+02    |
| 0.01143 |    3.9202932504e-07    |    1.1544648779e+02    |    1.3343095453e+02    |
| 0.01286 |    3.9202297637e-07    |    1.3229013186e+02    |    1.5011002753e+02    |
| 0.01429 |    3.9201576560e-07    |    1.4909689565e+02    |    1.6678917770e+02    |
| 0.01571 |    3.9200769427e-07    |    1.6587800774e+02    |    1.8346841404e+02    |
| 0.01714 |    3.9199876347e-07    |    1.8264056468e+02    |    2.0014774539e+02    |
| 0.01857 |    3.9198897402e-07    |    1.9938927547e+02    |    2.1682718033e+02    |
| 0.02000 |    3.9197832652e-07    |    2.1612739003e+02    |    2.3350672723e+02    |
| 0.02143 |    3.9196682146e-07    |    2.3285722507e+02    |    2.5018639419e+02    |
| 0.02286 |    3.9195445919e-07    |    2.4958047757e+02    |    2.6686618905e+02    |
| 0.02429 |    3.9194124003e-07    |    2.6629841973e+02    |    2.8354611934e+02    |
| 0.02571 |    3.9192716422e-07    |    2.8301202457e+02    |    3.0022619229e+02    |
| 0.02714 |    3.9191223196e-07    |    2.9972204938e+02    |    3.1690641480e+02    |
| 0.02857 |    3.9189644342e-07    |    3.1642909267e+02    |    3.3358679343e+02    |
| 0.03000 |    3.9187979873e-07    |    3.3313363395e+02    |    3.5026733434e+02    |
| 0.03143 |    3.9186229803e-07    |    3.4983606203e+02    |    3.6694804333e+02    |
| 0.03286 |    3.9184394140e-07    |    3.6653669568e+02    |    3.8362892578e+02    |
| 0.03429 |    3.9182472894e-07    |    3.8323579874e+02    |    4.0030998666e+02    |
| 0.03571 |    3.9180466071e-07    |    3.9993359152e+02    |    4.1699123046e+02    |
| 0.03714 |    3.9178373680e-07    |    4.1663025942e+02    |    4.3367266124e+02    |
| 0.03857 |    3.9176195724e-07    |    4.3332595959e+02    |    4.5035428255e+02    |
| 0.04000 |    3.9173932209e-07    |    4.5002082603e+02    |    4.6703609746e+02    |
| 0.04143 |    3.9171583139e-07    |    4.6671497364e+02    |    4.8371810849e+02    |
| 0.04286 |    3.9169148518e-07    |    4.8340850142e+02    |    5.0040031764e+02    |
| 0.04429 |    3.9166628350e-07    |    5.0010149503e+02    |    5.1708272633e+02    |
| 0.04571 |    3.9164022636e-07    |    5.1679402883e+02    |    5.3376533542e+02    |
| 0.04714 |    3.9161331381e-07    |    5.3348616755e+02    |    5.5044814515e+02    |
| 0.04857 |    3.9158554587e-07    |    5.5017796762e+02    |    5.6713115514e+02    |
| 0.05000 |    3.9155692255e-07    |    5.6686947834e+02    |    5.8381436439e+02    |
| 0.05143 |    3.9152744388e-07    |    5.8356074274e+02    |    6.0049777122e+02    |
| 0.05286 |    3.9149710988e-07    |    6.0025179839e+02    |    6.1718137328e+02    |
| 0.05429 |    3.9146592056e-07    |    6.1694267798e+02    |    6.3386516753e+02    |
| 0.05571 |    3.9143387595e-07    |    6.3363340992e+02    |    6.5054915020e+02    |
| 0.05714 |    3.9140097605e-07    |    6.5032401873e+02    |    6.6723331678e+02    |
| 0.05857 |    3.9136722089e-07    |    6.6701452545e+02    |    6.8391766204e+02    |
| 0.06000 |    3.9133261048e-07    |    6.8370494793e+02    |    7.0060217993e+02    |
| 0.06143 |    3.9129714484e-07    |    7.0039530114e+02    |    7.1728686362e+02    |
| 0.06286 |    3.9126082398e-07    |    7.1708559738e+02    |    7.3397170549e+02    |
| 0.06429 |    3.9122364792e-07    |    7.3377584644e+02    |    7.5065669705e+02    |
| 0.06571 |    3.9118561667e-07    |    7.5046605584e+02    |    7.6734182899e+02    |
| 0.06714 |    3.9114673026e-07    |    7.6715623091e+02    |    7.8402709110e+02    |
| 0.06857 |    3.9110698870e-07    |    7.8384637496e+02    |    8.0071247231e+02    |
