Число узлов n = 2001
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9205265464e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.00050 |    3.9205259283e-07    |    2.9513984795e-09    |    5.8375712709e+00    |
| 0.00100 |    3.9205265464e-07    |    1.5942424873e+00    |    1.1675142376e+01    |
| 0.00150 |    3.9205253563e-07    |    9.9778110204e+00    |    1.7512713745e+01    |
| 0.00200 |    3.9205229669e-07    |    1.6421572939e+01    |    2.3350285944e+01    |
| 0.00250 |    3.9205194652e-07    |    2.2542034841e+01    |    2.9187859417e+01    |
| 0.00300 |    3.9205148802e-07    |    2.8544934307e+01    |    3.5025434595e+01    |
| 0.00350 |    3.9205092249e-07    |    3.4491314658e+01    |    4.0863011903e+01    |
| 0.00400 |    3.9205025067e-07    |    4.0406045651e+01    |    4.6700591767e+01    |
| 0.00450 |    3.9204947296e-07    |    4.6301229897e+01    |    5.2538174608e+01    |
| 0.00500 |    3.9204858965e-07    |    5.2183482367e+01    |    5.8375760847e+01    |
| 0.00550 |    3.9204760092e-07    |    5.8056730222e+01    |    6.4213350904e+01    |
| 0.00600 |    3.9204650691e-07    |    6.3923454453e+01    |    7.0050945197e+01    |
| 0.00650 |    3.9204530771e-07    |    6.9785300485e+01    |    7.5888544144e+01    |
| 0.00700 |    3.9204400341e-07    |    7.5643403135e+01    |    8.1726148160e+01    |
| 0.00750 |    3.9204259407e-07    |    8.1498570669e+01    |    8.7563757658e+01    |
| 0.00800 |    3.9204107972e-07    |    8.7351394526e+01    |    9.3401373053e+01    |
| 0.00850 |    3.9203946040e-07    |    9.3202317567e+01    |    9.9238994753e+01    |
| 0.00900 |    3.9203773616e-07    |    9.9051678038e+01    |    1.0507662317e+02    |
| 0.00950 |    3.9203590700e-07    |    1.0489973878e+02    |    1.1091425871e+02    |
| 0.01000 |    3.9203397296e-07    |    1.1074670717e+02    |    1.1675190178e+02    |
| 0.01050 |    3.9203193405e-07    |    1.1659274903e+02    |    1.2258955278e+02    |
| 0.01100 |    3.9202979029e-07    |    1.2243799859e+02    |    1.2842721211e+02    |
| 0.01150 |    3.9202754168e-07    |    1.2828256568e+02    |    1.3426488018e+02    |
| 0.01200 |    3.9202518825e-07    |    1.3412654102e+02    |    1.4010255738e+02    |
| 0.01250 |    3.9202273000e-07    |    1.3997000028e+02    |    1.4594024411e+02    |
| 0.01300 |    3.9202016693e-07    |    1.4581300703e+02    |    1.5177794075e+02    |
