Число узлов n = 3001
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9210468992e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.00033 |    3.9210466244e-07    |    4.1260615910e+00    |    3.8916207828e+00    |
| 0.00067 |    3.9210459124e-07    |    7.8770179925e+00    |    7.7832416933e+00    |
| 0.00100 |    3.9210447406e-07    |    1.1735147590e+01    |    1.1674862857e+01    |
| 0.00133 |    3.9210431058e-07    |    1.5611139719e+01    |    1.5566484397e+01    |
| 0.00167 |    3.9210410070e-07    |    1.9493627686e+01    |    1.9458106439e+01    |
| 0.00200 |    3.9210384436e-07    |    2.3379239040e+01    |    2.3349729107e+01    |
| 0.00233 |    3.9210354156e-07    |    2.7266599883e+01    |    2.7241352527e+01    |
| 0.00267 |    3.9210319225e-07    |    3.1155041710e+01    |    3.1132976823e+01    |
| 0.00300 |    3.9210279645e-07    |    3.5044199200e+01    |    3.5024602120e+01    |
| 0.00333 |    3.9210235413e-07    |    3.8933855520e+01    |    3.8916228543e+01    |
| 0.00367 |    3.9210186530e-07    |    4.2823873744e+01    |    4.2807856216e+01    |
| 0.00400 |    3.9210132995e-07    |    4.6714163113e+01    |    4.6699485263e+01    |
| 0.00433 |    3.9210074808e-07    |    5.0604661075e+01    |    5.0591115810e+01    |
| 0.00467 |    3.9210011968e-07    |    5.4495323126e+01    |    5.4482747980e+01    |
| 0.00500 |    3.9209944476e-07    |    5.8386116744e+01    |    5.8374381896e+01    |
| 0.00533 |    3.9209872331e-07    |    6.2277017602e+01    |    6.2266017684e+01    |
| 0.00567 |    3.9209795533e-07    |    6.6168007147e+01    |    6.6157655466e+01    |
| 0.00600 |    3.9209714083e-07    |    7.0059071010e+01    |    7.0049295365e+01    |
| 0.00633 |    3.9209627979e-07    |    7.3950197887e+01    |    7.3940937506e+01    |
| 0.00667 |    3.9209537222e-07    |    7.7841378749e+01    |    7.7832582010e+01    |
| 0.00700 |    3.9209441812e-07    |    8.1732606328e+01    |    8.1724229001e+01    |
| 0.00733 |    3.9209341749e-07    |    8.5623874708e+01    |    8.5615878600e+01    |
| 0.00767 |    3.9209237033e-07    |    8.9515179018e+01    |    8.9507530931e+01    |
| 0.00800 |    3.9209127663e-07    |    9.3406515221e+01    |    9.3399186114e+01    |
| 0.00833 |    3.9209013641e-07    |    9.7297879941e+01    |    9.7290844272e+01    |
| 0.00867 |    3.9208894964e-07    |    1.0118927035e+02    |    1.0118250552e+02    |
| 0.00900 |    3.9208771635e-07    |    1.0508068407e+02    |    1.0507416999e+02    |
| 0.00933 |    3.9208643652e-07    |    1.0897211904e+02    |    1.0896583780e+02    |
| 0.00967 |    3.9208511016e-07    |    1.1286357355e+02    |    1.1285750906e+02    |
| 0.01000 |    3.9208373726e-07    |    1.1675504609e+02    |    1.1674918390e+02    |
| 0.01033 |    3.9208231782e-07    |    1.2064653539e+02    |    1.2064086244e+02    |
| 0.01067 |    3.9208085186e-07    |    1.2453804034e+02    |    1.2453254479e+02    |
| 0.01100 |    3.9207933935e-07    |    1.2842955998e+02    |    1.2842423107e+02    |
| 0.01133 |    3.9207778032e-07    |    1.3232109348e+02    |    1.3231592141e+02    |
| 0.01167 |    3.9207617474e-07    |    1.3621264012e+02    |    1.3620761591e+02    |
| 0.01200 |    3.9207452264e-07    |    1.4010419927e+02    |    1.4009931471e+02    |
| 0.01233 |    3.9207282399e-07    |    1.4399577036e+02    |    1.4399101790e+02    |
| 0.01267 |    3.9207107881e-07    |    1.4788735293e+02    |    1.4788272562e+02    |
| 0.01300 |    3.9206928710e-07    |    1.5177894656e+02    |    1.5177443797e+02    |
| 0.01333 |    3.9206744884e-07    |    1.5567055088e+02    |    1.5566615507e+02    |
| 0.01367 |    3.9206556406e-07    |    1.5956216557e+02    |    1.5955787704e+02    |
| 0.01400 |    3.9206363273e-07    |    1.6345379035e+02    |    1.6344960398e+02    |
| 0.01433 |    3.9206165487e-07    |    1.6734542497e+02    |    1.6734133602e+02    |
| 0.01467 |    3.9205963048e-07    |    1.7123706923e+02    |    1.7123307327e+02    |
| 0.01500 |    3.9205755954e-07    |    1.7512872294e+02    |    1.7512481583e+02    |
| 0.01533 |    3.9205544207e-07    |    1.7902038595e+02    |    1.7901656383e+02    |
| 0.01567 |    3.9205327806e-07    |    1.8291205811e+02    |    1.8290831737e+02    |
| 0.01600 |    3.9205106752e-07    |    1.8680373932e+02    |    1.8680007656e+02    |
| 0.01633 |    3.9204881044e-07    |    1.9069542948e+02    |    1.9069184152e+02    |
| 0.01667 |    3.9204650682e-07    |    1.9458712851e+02    |    1.9458361234e+02    |
| 0.01700 |    3.9204415667e-07    |    1.9847883632e+02    |    1.9847538915e+02    |
| 0.01733 |    3.9204175997e-07    |    2.0237055288e+02    |    2.0236717205e+02    |
| 0.01767 |    3.9203931674e-07    |    2.0626227814e+02    |    2.0625896115e+02    |
| 0.01800 |    3.9203682698e-07    |    2.1015401207e+02    |    2.1015075654e+02    |
| 0.01833 |    3.9203429067e-07    |    2.1404575464e+02    |    2.1404255835e+02    |
| 0.01867 |    3.9203170783e-07    |    2.1793750583e+02    |    2.1793436668e+02    |
| 0.01900 |    3.9202907845e-07    |    2.2182926566e+02    |    2.2182618162e+02    |
| 0.01933 |    3.9202640253e-07    |    2.2572103412e+02    |    2.2571800329e+02    |
| 0.01967 |    3.9202368007e-07    |    2.2961281120e+02    |    2.2960983178e+02    |
| 0.02000 |    3.9202091108e-07    |    2.3350459693e+02    |    2.3350166720e+02    |
| 0.02033 |    3.9201809554e-07    |    2.3739639132e+02    |    2.3739350966e+02    |
| 0.02067 |    3.9201523347e-07    |    2.4128819439e+02    |    2.4128535924e+02    |
| 0.02100 |    3.9201232486e-07    |    2.4518000616e+02    |    2.4517721605e+02    |
| 0.02133 |    3.9200936971e-07    |    2.4907182667e+02    |    2.4906908020e+02    |
| 0.02167 |    3.9200636803e-07    |    2.5296365595e+02    |    2.5296095177e+02    |
| 0.02200 |    3.9200331980e-07    |    2.5685549403e+02    |    2.5685283087e+02    |
| 0.02233 |    3.9200022504e-07    |    2.6074734097e+02    |    2.6074471759e+02    |
| 0.02267 |    3.9199708373e-07    |    2.6463919678e+02    |    2.6463661203e+02    |
| 0.02300 |    3.9199389589e-07    |    2.6853106153e+02    |    2.6852851428e+02    |
| 0.02333 |    3.9199066151e-07    |    2.7242293526e+02    |    2.7242042443e+02    |
| 0.02367 |    3.9198738059e-07    |    2.7631481802e+02    |    2.7631234259e+02    |
| 0.02400 |    3.9198405313e-07    |    2.8020670985e+02    |    2.8020426883e+02    |
| 0.02433 |    3.9198067913e-07    |    2.8409861080e+02    |    2.8409620326e+02    |
| 0.02467 |    3.9197725859e-07    |    2.8799052093e+02    |    2.8798814596e+02    |
| 0.02500 |    3.9197379151e-07    |    2.9188244028e+02    |    2.9188009702e+02    |
| 0.02533 |    3.9197027789e-07    |    2.9577436891e+02    |    2.9577205653e+02    |
| 0.02567 |    3.9196671774e-07    |    2.9966630688e+02    |    2.9966402457e+02    |
| 0.02600 |    3.9196311104e-07    |    3.0355825425e+02    |    3.0355600124e+02    |
| 0.02633 |    3.9195945780e-07    |    3.0745021106e+02    |    3.0744798661e+02    |
| 0.02667 |    3.9195575802e-07    |    3.1134217738e+02    |    3.1133998078e+02    |
| 0.02700 |    3.9195201170e-07    |    3.1523415327e+02    |    3.1523198382e+02    |
| 0.02733 |    3.9194821885e-07    |    3.1912613876e+02    |    3.1912399581e+02    |
| 0.02767 |    3.9194437945e-07    |    3.2301813393e+02    |    3.2301601684e+02    |
| 0.02800 |    3.9194049351e-07    |    3.2691013883e+02    |    3.2690804698e+02    |
| 0.02833 |    3.9193656103e-07    |    3.3080215352e+02    |    3.3080008632e+02    |
| 0.02867 |    3.9193258201e-07    |    3.3469417806e+02    |    3.3469213494e+02    |
| 0.02900 |    3.9192855644e-07    |    3.3858621250e+02    |    3.3858419290e+02    |
| 0.02933 |    3.9192448434e-07    |    3.4247825688e+02    |    3.4247626028e+02    |
| 0.02967 |    3.9192036570e-07    |    3.4637031129e+02    |    3.4636833716e+02    |
| 0.03000 |    3.9191620051e-07    |    3.5026237576e+02    |    3.5026042361e+02    |
| 0.03033 |    3.9191198879e-07    |    3.5415445036e+02    |    3.5415251970e+02    |
| 0.03067 |    3.9190773052e-07    |    3.5804653514e+02    |    3.5804462550e+02    |
| 0.03100 |    3.9190342571e-07    |    3.6193863014e+02    |    3.6193674109e+02    |
| 0.03133 |    3.9189907436e-07    |    3.6583073543e+02    |    3.6582886652e+02    |
| 0.03167 |    3.9189467647e-07    |    3.6972285106e+02    |    3.6972100187e+02    |
