Число узлов n = 501
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9236224127e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.00200 |    3.9236125223e-07    |    2.4754526817e+01    |    2.3346963207e+01    |
| 0.00400 |    3.9235868907e-07    |    4.7256973865e+01    |    4.6693953959e+01    |
| 0.00600 |    3.9235447100e-07    |    7.0402934604e+01    |    7.0040999121e+01    |
| 0.00800 |    3.9234858647e-07    |    9.3656219399e+01    |    9.3388125180e+01    |
| 0.01000 |    3.9234103163e-07    |    1.1694860885e+02    |    1.1673535843e+02    |
| 0.01200 |    3.9233180471e-07    |    1.4025988014e+02    |    1.4008272478e+02    |
| 0.01400 |    3.9232090477e-07    |    1.6358180919e+02    |    1.6343024965e+02    |
| 0.01600 |    3.9230833123e-07    |    1.8691040632e+02    |    1.8677795782e+02    |
| 0.01800 |    3.9229408372e-07    |    2.1024350145e+02    |    2.1012587338e+02    |
| 0.02000 |    3.9227816196e-07    |    2.3357981528e+02    |    2.3347401956e+02    |
| 0.02200 |    3.9226056576e-07    |    2.5691854725e+02    |    2.5682241866e+02    |
| 0.02400 |    3.9224129497e-07    |    2.8025917294e+02    |    2.8017109197e+02    |
| 0.02600 |    3.9222034947e-07    |    3.0360133618e+02    |    3.0352005959e+02    |
| 0.02800 |    3.9219772917e-07    |    3.2694478783e+02    |    3.2686934041e+02    |
| 0.03000 |    3.9217343398e-07    |    3.5028934937e+02    |    3.5021895195e+02    |
| 0.03200 |    3.9214746384e-07    |    3.7363489007e+02    |    3.7356891027e+02    |
| 0.03400 |    3.9211981868e-07    |    3.9698131236e+02    |    3.9691922987e+02    |
| 0.03600 |    3.9209049844e-07    |    4.2032854201e+02    |    4.2026992360e+02    |
| 0.03800 |    3.9205950309e-07    |    4.4367652141e+02    |    4.4362100250e+02    |
| 0.04000 |    3.9202683256e-07    |    4.6702520487e+02    |    4.6697247579e+02    |
| 0.04200 |    3.9199248684e-07    |    4.9037455520e+02    |    4.9032435066e+02    |
| 0.04400 |    3.9195646587e-07    |    5.1372454122e+02    |    5.1367663225e+02    |
| 0.04600 |    3.9191876963e-07    |    5.3707513587e+02    |    5.3702932350e+02    |
| 0.04800 |    3.9187939809e-07    |    5.6042631485e+02    |    5.6038242507e+02    |
| 0.05000 |    3.9183835123e-07    |    5.8377805543e+02    |    5.8373593519e+02    |
| 0.05200 |    3.9179562902e-07    |    6.0713033562e+02    |    6.0708984964e+02    |
| 0.05400 |    3.9175123145e-07    |    6.3048313346e+02    |    6.3044416155e+02    |
| 0.05600 |    3.9170515850e-07    |    6.5383642645e+02    |    6.5379886137e+02    |
| 0.05800 |    3.9165741018e-07    |    6.7719019103e+02    |    6.7715393674e+02    |
| 0.06000 |    3.9160798646e-07    |    7.0054440226e+02    |    7.0050937235e+02    |
| 0.06200 |    3.9155688737e-07    |    7.2389903340e+02    |    7.2386514990e+02    |
| 0.06400 |    3.9150411289e-07    |    7.4725405563e+02    |    7.4722124795e+02    |
| 0.06600 |    3.9144966306e-07    |    7.7060943781e+02    |    7.7057764185e+02    |
| 0.06800 |    3.9139353788e-07    |    7.9396514622e+02    |    7.9393430358e+02    |
| 0.07000 |    3.9133573738e-07    |    8.1732114435e+02    |    8.1729120172e+02    |
| 0.07200 |    3.9127626160e-07    |    8.4067739274e+02    |    8.4064830128e+02    |
| 0.07400 |    3.9121511058e-07    |    8.6403384872e+02    |    8.6400556364e+02    |
| 0.07600 |    3.9115228436e-07    |    8.8739046632e+02    |    8.8736294642e+02    |
