Число узлов n = 101
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9205765160e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.01000 |    3.9203292572e-07    |    1.2378417842e+02    |    1.1675247559e+02    |
| 0.02000 |    3.9196883838e-07    |    2.3632020125e+02    |    2.3350827774e+02    |
| 0.03000 |    3.9186336972e-07    |    3.5207709162e+02    |    3.5027033514e+02    |
| 0.04000 |    3.9171622905e-07    |    4.6837813621e+02    |    4.6704090488e+02    |
| 0.05000 |    3.9152731778e-07    |    5.8488363017e+02    |    5.8382128203e+02    |
| 0.06000 |    3.9129659047e-07    |    7.0149236250e+02    |    7.0061146425e+02    |
| 0.07000 |    3.9102402361e-07    |    8.1816144421e+02    |    8.1740982347e+02    |
| 0.08000 |    3.9070960622e-07    |    9.3486719198e+02    |    9.3421277932e+02    |
| 0.09000 |    3.9035333692e-07    |    1.0515927385e+03    |    1.0510144732e+03    |
| 0.10000 |    3.8995522363e-07    |    1.1683230677e+03    |    1.1678064434e+03    |
| 0.11000 |    3.8951528450e-07    |    1.2850426325e+03    |    1.2845773005e+03    |
| 0.12000 |    3.8903354952e-07    |    1.4017340208e+03    |    1.4013124053e+03    |
| 0.13000 |    3.8851006263e-07    |    1.5183770966e+03    |    1.5179935479e+03    |
| 0.14000 |    3.8794488421e-07    |    1.6349483765e+03    |    1.6345986303e+03    |
| 0.15000 |    3.8733809386e-07    |    1.7514205351e+03    |    1.7511013522e+03    |
| 0.16000 |    3.8668979345e-07    |    1.8677619824e+03    |    1.8674709023e+03    |
| 0.17000 |    3.8600011043e-07    |    1.9839364889e+03    |    1.9836716557e+03    |
| 0.18000 |    3.8526920133e-07    |    2.0999028422e+03    |    2.0996628790e+03    |
| 0.19000 |    3.8449725554e-07    |    2.2156145292e+03    |    2.2153984453e+03    |
| 0.20000 |    3.8368449923e-07    |    2.3310194395e+03    |    2.3308265606e+03    |
| 0.21000 |    3.8283119944e-07    |    2.4460595894e+03    |    2.4458895039e+03    |
| 0.22000 |    3.8193766837e-07    |    2.5606708669e+03    |    2.5605233838e+03    |
| 0.23000 |    3.8100426780e-07    |    2.6747827983e+03    |    2.6746579143e+03    |
| 0.24000 |    3.8003141357e-07    |    2.7883183400e+03    |    2.7882162123e+03    |
| 0.25000 |    3.7901958026e-07    |    2.9011936958e+03    |    2.9011146200e+03    |
| 0.26000 |    3.7796930582e-07    |    3.0133181658e+03    |    3.0132625573e+03    |
| 0.27000 |    3.7688119627e-07    |    3.1245940267e+03    |    3.1245624048e+03    |
| 0.28000 |    3.7575593042e-07    |    3.2349164511e+03    |    3.2349094251e+03    |
| 0.29000 |    3.7459426448e-07    |    3.3441734657e+03    |    3.3441917228e+03    |
| 0.30000 |    3.7339703665e-07    |    3.4522459571e+03    |    3.4522902510e+03    |
| 0.31000 |    3.7216517147e-07    |    3.5590077252e+03    |    3.5590788662e+03    |
| 0.32000 |    3.7089968406e-07    |    3.6643255922e+03    |    3.6644244374e+03    |
| 0.33000 |    3.6960168409e-07    |    3.7680595700e+03    |    3.7681870144e+03    |
| 0.34000 |    3.6827237938e-07    |    3.8700630913e+03    |    3.8702200593e+03    |
| 0.35000 |    3.6691307922e-07    |    3.9701833091e+03    |    3.9703707461e+03    |
| 0.36000 |    3.6552519716e-07    |    4.0682614694e+03    |    4.0684803335e+03    |
| 0.37000 |    3.6411025336e-07    |    4.1641333607e+03    |    4.1643846153e+03    |
| 0.38000 |    3.6266987631e-07    |    4.2576298459e+03    |    4.2579144518e+03    |
| 0.39000 |    3.6120580390e-07    |    4.3485774793e+03    |    4.3488963874e+03    |
| 0.40000 |    3.5971988382e-07    |    4.4367992124e+03    |    4.4371533570e+03    |
| 0.41000 |    3.5821407310e-07    |    4.5221151922e+03    |    4.5225054839e+03    |
| 0.42000 |    3.5669043681e-07    |    4.6043436527e+03    |    4.6047709727e+03    |
| 0.43000 |    3.5515114584e-07    |    4.6833019023e+03    |    4.6837670967e+03    |
| 0.44000 |    3.5359847363e-07    |    4.7588074068e+03    |    4.7593112816e+03    |
| 0.45000 |    3.5203479196e-07    |    4.8306789675e+03    |    4.8312222849e+03    |
| 0.46000 |    3.5046256550e-07    |    4.8987379923e+03    |    4.8993214678e+03    |
| 0.47000 |    3.4888434535e-07    |    4.9628098567e+03    |    4.9634341577e+03    |
