Число узлов n = 181
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9589872442e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.00556 |    3.9589109295e-07    |    6.8692190133e+01    |    6.4747149915e+01    |
| 0.01111 |    3.9587134355e-07    |    1.3107277820e+02    |    1.2949488379e+02    |
| 0.01667 |    3.9583884703e-07    |    1.9525798229e+02    |    1.9424375582e+02    |
| 0.02222 |    3.9579351325e-07    |    2.5974541347e+02    |    2.5899428222e+02    |
| 0.02778 |    3.9573531193e-07    |    3.2434425800e+02    |    3.2374693005e+02    |
| 0.03333 |    3.9566422902e-07    |    3.8899815954e+02    |    3.8850209836e+02    |
| 0.03889 |    3.9558025677e-07    |    4.5368430741e+02    |    4.5326010047e+02    |
| 0.04444 |    3.9548339034e-07    |    5.1839165773e+02    |    5.1802114664e+02    |
| 0.05000 |    3.9537362652e-07    |    5.8311414816e+02    |    5.8278532669e+02    |
| 0.05556 |    3.9525096310e-07    |    6.4784807763e+02    |    6.4755259281e+02    |
| 0.06111 |    3.9511539860e-07    |    7.1259093468e+02    |    7.1232274223e+02    |
| 0.06667 |    3.9496693212e-07    |    7.7734081250e+02    |    7.7709540004e+02    |
| 0.07222 |    3.9480556334e-07    |    8.4209608965e+02    |    8.4187000193e+02    |
| 0.07778 |    3.9463129248e-07    |    9.0685524164e+02    |    9.0664577695e+02    |
| 0.08333 |    3.9444412037e-07    |    9.7161672177e+02    |    9.7142173037e+02    |
| 0.08889 |    3.9424404850e-07    |    1.0363788804e+03    |    1.0361966264e+03    |
| 0.09444 |    3.9403107911e-07    |    1.1011399072e+03    |    1.1009689711e+03    |
| 0.10000 |    3.9380521525e-07    |    1.1658977862e+03    |    1.1657369953e+03    |
| 0.10556 |    3.9356646092e-07    |    1.2306502611e+03    |    1.2304986371e+03    |
| 0.11111 |    3.9331482118e-07    |    1.2953948045e+03    |    1.2952515256e+03    |
| 0.11667 |    3.9305030224e-07    |    1.3601285918e+03    |    1.3599929631e+03    |
| 0.12222 |    3.9277291162e-07    |    1.4248484782e+03    |    1.4247199087e+03    |
| 0.12778 |    3.9248265827e-07    |    1.4895509760e+03    |    1.4894289612e+03    |
| 0.13333 |    3.9217955274e-07    |    1.5542322349e+03    |    1.5541163427e+03    |
| 0.13889 |    3.9186360730e-07    |    1.6188880222e+03    |    1.6187778815e+03    |
| 0.14444 |    3.9153483612e-07    |    1.6835137043e+03    |    1.6834089960e+03    |
| 0.15000 |    3.9119325545e-07    |    1.7481042287e+03    |    1.7480046783e+03    |
| 0.15556 |    3.9083888376e-07    |    1.8126541065e+03    |    1.8125594781e+03    |
| 0.16111 |    3.9047174194e-07    |    1.8771573954e+03    |    1.8770674865e+03    |
| 0.16667 |    3.9009185348e-07    |    1.9416076834e+03    |    1.9415223206e+03    |
| 0.17222 |    3.8969924467e-07    |    2.0059980722e+03    |    2.0059171079e+03    |
| 0.17778 |    3.8929394479e-07    |    2.0703211619e+03    |    2.0702444713e+03    |
| 0.18333 |    3.8887598631e-07    |    2.1345690358e+03    |    2.1344965140e+03    |
| 0.18889 |    3.8844540513e-07    |    2.1987332449e+03    |    2.1986648052e+03    |
| 0.19444 |    3.8800224073e-07    |    2.2628047943e+03    |    2.2627403658e+03    |
| 0.20000 |    3.8754653646e-07    |    2.3267741288e+03    |    2.3267136551e+03    |
| 0.20556 |    3.8707833971e-07    |    2.3906311196e+03    |    2.3905745570e+03    |
| 0.21111 |    3.8659770218e-07    |    2.4543650514e+03    |    2.4543123680e+03    |
| 0.21667 |    3.8610468008e-07    |    2.5179646101e+03    |    2.5179157846e+03    |
| 0.22222 |    3.8559933438e-07    |    2.5814178713e+03    |    2.5813728917e+03    |
| 0.22778 |    3.8508173104e-07    |    2.6447122893e+03    |    2.6446711523e+03    |
| 0.23333 |    3.8455194129e-07    |    2.7078346866e+03    |    2.7077973965e+03    |
| 0.23889 |    3.8401004180e-07    |    2.7707712446e+03    |    2.7707378130e+03    |
| 0.24444 |    3.8345611499e-07    |    2.8335074952e+03    |    2.8334779396e+03    |
| 0.25000 |    3.8289024928e-07    |    2.8960283125e+03    |    2.8960026562e+03    |
| 0.25556 |    3.8231253927e-07    |    2.9583179064e+03    |    2.9582961779e+03    |
| 0.26111 |    3.8172308607e-07    |    3.0203598166e+03    |    3.0203420487e+03    |
| 0.26667 |    3.8112199749e-07    |    3.0821369080e+03    |    3.0821231375e+03    |
| 0.27222 |    3.8050938835e-07    |    3.1436313671e+03    |    3.1436216343e+03    |
| 0.27778 |    3.7988538063e-07    |    3.2048246996e+03    |    3.2048190475e+03    |
| 0.28333 |    3.7925010382e-07    |    3.2656977291e+03    |    3.2656962034e+03    |
| 0.28889 |    3.7860369509e-07    |    3.3262305978e+03    |    3.3262332459e+03    |
